Company,Region,Fiscal Year,Event Date (adjusted),Estimation N,Est_Calendar_Mismatch_N,Alpha,Beta,"CAR[-1,+1]","CAR[-1,+1]_Calendar_Gaps","CAR[-2,+2]","CAR[0,+1]","CAR[0,+5]","CAR[0,+15]","CAR[0,+20]","CAR[0,+30]","CAR[0,+45]","CAR[0,+60]","|CAR|[-1,+1]",n_corporate_tier1plus,Specificity,ESGSentiment,total_sentences,Sentiment,cluster_3d,Leverage,Size,ROA,Revenue_Growth,Cluster1_HighSpec,Cluster0_HighVolLowSpec
MS&AD Insurance Group Holdings,Japan,2022,2022-10-25,212,9,0.000986451990876,0.1160264219841565,0.0165917001024048,0,-0.0159459076896391,0.0117421368707622,0.0044773136791381,-0.0200295197489142,0.0068792411107715,-0.0680672623341216,0.0202758464406762,0.0115550986667109,0.0165917001024048,56.0,1.3214285714285714,0.5535714285714286,143.0,0.4825174825174825,0.0,6.579699820927739,12.235331339151395,0.0111841491598564,3.9217,0,1
MS&AD Insurance Group Holdings,Japan,2023,2023-10-23,212,9,0.0014495567976839,0.0252663545397081,-0.026822551744145,0,-0.0313148179121985,-0.0104131865864957,-0.016486155412376,0.02947038336704,-0.0309942959495923,0.0079640844173896,-0.0785576138243784,0.0067709098819034,0.026822551744145,47.0,1.446808510638298,0.7446808510638298,127.0,0.5354330708661418,0.0,6.756004548306729,12.119423442402216,0.0078969041570182,1.235,0,1
"MetLife, Inc.",United States,2012,2013-04-12,221,0,-1.558826283162326e-06,0.4694886311967747,-0.0338863797329184,0,-0.0067871905978094,-0.0210835457656093,-0.0299335009580183,0.0764970457473114,0.0880779500746108,0.1243648443960829,0.1768751241030825,0.2760645271555139,0.0338863797329184,9.0,1.2222222222222223,0.3333333333333333,102.0,0.392156862745098,2.0,11.881877520859632,13.637317666490087,0.0074042670662933,6.2413,0,0
Munich Re,Europe (Germany),2012,2013-03-13,214,7,0.0010661856577519,0.2264295602918134,0.0109532264801479,0,0.0293737656133469,0.0061527479440307,0.0169454740926806,0.0041467350731742,0.0182373509119716,0.0318562301441989,-0.0033440023252706,-0.0622622234696046,0.0109532264801479,4.0,1.5,0.0,44.0,0.2272727272727272,2.0,8.41783592696527,12.73973040651894,0.0127344643755166,9.5061,0,0
Munich Re,Europe (Germany),2013,2014-03-12,216,5,6.444966989104721e-05,0.2491182037078226,-0.0162500410451826,0,-0.0251663702622345,-0.022352290722834,-0.0181469043418298,0.0336206175523497,0.045016216388734,0.0728055424169314,0.0590752967219164,0.0758014789360577,0.0162500410451826,1.0,2.0,0.0,33.0,0.5454545454545454,2.0,8.711012677562243,12.767603218522638,0.0127718948524717,-3.4829,0,0
Munich Re,Europe (Germany),2014,2015-03-11,216,5,0.0008980044814941,0.6612684588999864,0.0344656135243213,0,0.0398863490597685,0.0167068133474564,0.0228491473038261,0.0424203911862709,0.0468768089513661,-0.0472469142755788,-0.1090767170119301,-0.176271842046895,0.0344656135243213,1.0,1.0,0.0,40.0,0.125,2.0,8.012644854567665,12.70778882399962,0.0157215604680491,-0.6245,0,0
Munich Re,Europe (Germany),2015,2016-03-09,216,5,4.411558848735787e-06,0.5084008111755451,0.0053683917673643,0,0.0213459728294696,-0.0043541842635934,0.0290884281099231,-0.0318227570914879,-0.0356977478594999,-0.0124311227167488,-0.0846125440385668,-0.0736947902700983,0.0053683917673643,3.0,2.0,1.0,46.0,0.3043478260869565,1.0,7.682684234321514,12.585029386963813,0.0145056633279138,-1.0739,1,0
Munich Re,Europe (Germany),2016,2017-03-08,215,6,-0.0003509843071213,0.8962727031867378,0.0018545194907767,0,4.300877549738222e-05,-0.0008383946052978,-0.0226129635261889,0.0054324203641984,0.0145769998832137,0.0215180592874435,0.0039619093120413,-0.0002655452516281,0.0018545194907767,2.0,1.0,1.0,42.0,0.4285714285714285,1.0,7.425515180116408,12.551270749015083,0.0118638924885073,-1.8361,1,0
Munich Re,Europe (Germany),2017,2018-03-07,216,5,-0.0001670612645297,0.7629321167239965,0.0155072624678209,0,0.0158978866953789,0.008825205920462,-0.0065536038080455,0.0580865811970537,0.0646720987121103,0.0673491935247194,0.076625055346867,0.0342615205184398,0.0155072624678209,1.0,3.0,1.0,56.0,0.5,1.0,8.423434286119582,12.674359140093632,0.0013293929755141,0.1674,1,0
Munich Re,Europe (Germany),2018,2019-03-06,215,6,0.0007139438126811,0.3783590465571302,0.0036035216198211,0,0.0053368831472729,0.0023990347361529,-0.0047749157576342,-0.015407016706424,0.0030033643181318,0.0159547976038192,0.0041350736426255,0.0398056625476022,0.0036035216198211,2.0,1.0,0.0,49.0,0.6530612244897959,2.0,9.19501886792453,12.642378560944572,0.0084645682825438,-8.4608,0,0
