Company,Year,Total Assets (Million USD),Total Liabilities (Million USD),Total Equity (Million USD),Leverage,Revenue Growth YoY (%),"Net Income, Adj",ROA,ROE,ROE_sign_flip_risk,Size,Region
Munich RE,2015,292151.9688,258504.3132,33647.6556,7.682684234321514,-1.0739,4237.8581,0.014505663327913882,0.1259480942856536,0,12.585029386963813,Europe
Munich RE,2016,282453.9335,248930.294,33523.6395,7.425515180116408,-1.8361,3351.0031,0.011863892488507334,0.09995940625718756,0,12.551270749015085,Europe
Munich RE,2017,319450.9884,285551.3528,33899.6356,8.423434286119582,0.1674,424.6759,0.001329392975514112,0.012527447345186212,0,12.674359140093632,Europe
Munich RE,2018,309396.3936,279048.5936,30347.8,9.19501886792453,-8.4608,2618.9069,0.008464568282543808,0.08629643334936964,0,12.642378560944573,Europe
Munich RE,2019,322893.2637,288559.4733,34333.7904,8.404532967032967,13.7721,3097.1078,0.009591738658498375,0.09020582242501254,0,12.685077094652012,Europe
Munich RE,2020,364238.985,327571.32,36667.665,8.933520037340802,0.3101,1448.4125,0.003976544410807646,0.03950108358413332,0,12.805565483380578,Europe
Munich RE,2021,355704.333,320470.356,35233.977,9.095492001938926,8.0543,3505.4836,0.009855048912209907,0.099491567471932,0,12.78185513947607,Europe
Munich RE,2022,288544.7001,259362.5806,29182.1195,8.887722517893192,-15.2893,5595.0144,0.01939045977299515,0.19172748572974627,0,12.57260529261642,Europe
Munich RE,2023,302924.5752,269985.9408,32938.6344,8.196634308555304,-2.1141,4981.5249,0.01644476978043477,0.1512365339590399,0,12.621239126771432,Europe
Munich RE,2024,296514.3735,262626.573,33887.8005,7.749885478699038,6.5531,6171.1094,0.020812176243456205,0.18210415869274257,0,12.599850973479334,Europe
New China Life,2012,79180.9142,73426.6239,5754.2903,12.760326655747628,2.8441,456.1696,0.005761105496304058,0.07927469352736688,0,11.27949056643838,Asia
