outcome,model,fixed_effects,covariance,term,N,firms,coefficient,SE,p_value,CI95_low,CI95_high,R_squared
"|CAR|[-1,+1]",M4_interaction_overall,firm_FE,HC3,Overall_sentiment,61,6,-0.023178507647751954,0.08460588029741103,0.7852017810214551,-0.19295262703598343,0.14659561174047953,0.09780461071626956
"|CAR|[-1,+1]",M4_interaction_overall,firm_FE,HC3,Specificity_mean:Overall_sentiment,61,6,0.03443468984055449,0.07331132126540278,0.6405296284022666,-0.11267523875151698,0.18154461843262598,0.09780461071626956
"|CAR|[-1,+1]",M4_interaction_overall,firm_FE,firm_cluster_CR1,Specificity_mean,61,6,-0.008624840864440377,0.026533742459645872,0.7583022934731519,-0.07683199726265809,0.05958231553377734,0.09780461071626956
"|CAR|[-1,+1]",M4_interaction_overall,firm_FE,firm_cluster_CR1,Overall_sentiment,61,6,-0.023178507647751954,0.11178750825171833,0.8439211129492432,-0.3105374458106638,0.2641804305151598,0.09780461071626956
"|CAR|[-1,+1]",M4_interaction_overall,firm_FE,firm_cluster_CR1,Specificity_mean:Overall_sentiment,61,6,0.03443468984055449,0.09736810953235331,0.7380211777572447,-0.21585800389356002,0.284727383574669,0.09780461071626956
"|CAR|[-1,+1]",M4_interaction_overall,firm_year_FE,HC3,Specificity_mean,61,6,-0.004137472341446845,0.03869241147130168,0.9153641463150279,-0.08227838255291646,0.07400343787002277,0.39480734395689665
"|CAR|[-1,+1]",M4_interaction_overall,firm_year_FE,HC3,Overall_sentiment,61,6,-0.014589915552558466,0.10891868435998976,0.8940956182263567,-0.23455566106413012,0.20537582995901316,0.39480734395689665
"|CAR|[-1,+1]",M4_interaction_overall,firm_year_FE,HC3,Specificity_mean:Overall_sentiment,61,6,0.026286235615817076,0.08656075087524193,0.7629121616117455,-0.14852674720890316,0.20109921844053733,0.39480734395689665
"|CAR|[-1,+1]",M4_interaction_overall,firm_year_FE,firm_cluster_CR1,Specificity_mean,61,6,-0.004137472341446845,0.014399092322737998,0.7853780761918203,-0.04115151751592745,0.03287657283303376,0.39480734395689665
"|CAR|[-1,+1]",M4_interaction_overall,firm_year_FE,firm_cluster_CR1,Overall_sentiment,61,6,-0.014589915552558466,0.07011418655117317,0.8433709431374065,-0.1948241699214202,0.16564433881630325,0.39480734395689665
"|CAR|[-1,+1]",M4_interaction_overall,firm_year_FE,firm_cluster_CR1,Specificity_mean:Overall_sentiment,61,6,0.026286235615817076,0.058322715674893943,0.671075281582617,-0.12363707790304665,0.17620954913468082,0.39480734395689665
"|CAR|[-1,+1]",M4b_interaction_ESG,pooled,HC3,Specificity_mean,62,7,-0.0035941850828644165,0.011617936296513412,0.7581524295626466,-0.02685001129728086,0.019661641131552027,0.018141249865851417
"|CAR|[-1,+1]",M4b_interaction_ESG,pooled,HC3,ESG_sentiment,62,7,0.006438487874449119,0.04624329625159453,0.889750158856255,-0.0861275267568755,0.09900450250577374,0.018141249865851417
"|CAR|[-1,+1]",M4b_interaction_ESG,pooled,HC3,Specificity_mean:ESG_sentiment,62,7,0.003021725804970234,0.03656432079282959,0.9344212517352855,-0.07016971442193194,0.0762131660318724,0.018141249865851417
"|CAR|[-1,+1]",M4b_interaction_ESG,pooled,firm_cluster_CR1,Specificity_mean,62,7,-0.0035941850828644165,0.01088765975759837,0.7525342319043926,-0.03023532877496614,0.023046958609237306,0.018141249865851417
"|CAR|[-1,+1]",M4b_interaction_ESG,pooled,firm_cluster_CR1,ESG_sentiment,62,7,0.006438487874449119,0.07238725223331806,0.9320201753677956,-0.1706867374870777,0.18356371323597592,0.018141249865851417
"|CAR|[-1,+1]",M4b_interaction_ESG,pooled,firm_cluster_CR1,Specificity_mean:ESG_sentiment,62,7,0.003021725804970234,0.05835682999562563,0.9603847255009125,-0.1397722931065789,0.14581574471651937,0.018141249865851417
"|CAR|[-1,+1]",M4b_interaction_ESG,firm_FE,HC3,Specificity_mean,61,6,0.001977284899307692,0.012993947333592944,0.8796419881533725,-0.02409697800278643,0.02805154780140181,0.07751776450368542
"|CAR|[-1,+1]",M4b_interaction_ESG,firm_FE,HC3,ESG_sentiment,61,6,-0.011320656975394108,0.06785483795706662,0.8681458531957847,-0.1474813507699204,0.12484003681913217,0.07751776450368542
"|CAR|[-1,+1]",M4b_interaction_ESG,firm_FE,HC3,Specificity_mean:ESG_sentiment,61,6,0.015827093482948723,0.05515552951992179,0.7752879761524636,-0.09485057360968795,0.1265047605755854,0.07751776450368542
"|CAR|[-1,+1]",M4b_interaction_ESG,firm_FE,firm_cluster_CR1,Specificity_mean,61,6,0.001977284899307692,0.01036749016657476,0.8562472838390436,-0.024673197004027494,0.028627766802642875,0.07751776450368542
"|CAR|[-1,+1]",M4b_interaction_ESG,firm_FE,firm_cluster_CR1,ESG_sentiment,61,6,-0.011320656975394108,0.09151488001568746,0.906369474765501,-0.24656714523415707,0.22392583128336885,0.07751776450368542
"|CAR|[-1,+1]",M4b_interaction_ESG,firm_FE,firm_cluster_CR1,Specificity_mean:ESG_sentiment,61,6,0.015827093482948723,0.07687286494868309,0.844999974817867,-0.18178089680745957,0.21343508377335701,0.07751776450368542
"|CAR|[-1,+1]",M4b_interaction_ESG,firm_year_FE,HC3,Specificity_mean,61,6,0.013571390080906204,0.017568446236201553,0.4442566927904614,-0.021908806880099416,0.04905158704191183,0.3813192168045325
"|CAR|[-1,+1]",M4b_interaction_ESG,firm_year_FE,HC3,ESG_sentiment,61,6,0.00874304708314644,0.06358150342670572,0.8913013458866152,-0.1196624040493445,0.13714849821563738,0.3813192168045325
"|CAR|[-1,+1]",M4b_interaction_ESG,firm_year_FE,HC3,Specificity_mean:ESG_sentiment,61,6,-0.007392573605119492,0.050345918755221625,0.8839814327684948,-0.10906821922580244,0.09428307201556345,0.3813192168045325
"|CAR|[-1,+1]",M4b_interaction_ESG,firm_year_FE,firm_cluster_CR1,Specificity_mean,61,6,0.013571390080906204,0.011007847653607945,0.27242030883282226,-0.014725183146910206,0.04186796330872261,0.3813192168045325
"|CAR|[-1,+1]",M4b_interaction_ESG,firm_year_FE,firm_cluster_CR1,ESG_sentiment,61,6,0.00874304708314644,0.05957221277091697,0.8890524663326168,-0.1443922009744344,0.16187829514072727,0.3813192168045325
"|CAR|[-1,+1]",M4b_interaction_ESG,firm_year_FE,firm_cluster_CR1,Specificity_mean:ESG_sentiment,61,6,-0.007392573605119492,0.04810163789781969,0.8838672162974639,-0.13104177024961014,0.11625662303937116,0.3813192168045325
"CAR[-2,+2]",M1_specificity,pooled,HC3,Specificity_mean,62,7,-0.015234378725101264,0.010746653772408498,0.1614821383618323,-0.03673088685999132,0.006262129409788788,0.015716015972132125
"CAR[-2,+2]",M1_specificity,pooled,firm_cluster_CR1,Specificity_mean,62,7,-0.015234378725101264,0.005795305747611605,0.039125312282686224,-0.02941498103994071,-0.0010537764102618152,0.015716015972132125
"CAR[-2,+2]",M1_specificity,firm_FE,HC3,Specificity_mean,61,6,-0.030625558514335197,0.01873757411322552,0.107982328626197,-0.06819213276482973,0.006941015736159337,0.13274669886477053
"CAR[-2,+2]",M1_specificity,firm_FE,firm_cluster_CR1,Specificity_mean,61,6,-0.030625558514335197,0.01402166753148547,0.08068859921143644,-0.06666940237610322,0.005418285347432834,0.13274669886477053
"CAR[-2,+2]",M1_specificity,firm_year_FE,HC3,Specificity_mean,61,6,-0.03408875982679416,0.028430522501612057,0.23708615673214972,-0.09142437277576632,0.023246853122177995,0.25462731504046043
"CAR[-2,+2]",M1_specificity,firm_year_FE,firm_cluster_CR1,Specificity_mean,61,6,-0.03408875982679416,0.014243950075130653,0.062140427403168476,-0.07070399915763553,0.0025264795040472188,0.25462731504046043
"CAR[-2,+2]",M2_overall_sentiment,pooled,HC3,Overall_sentiment,62,7,-0.02483984500604114,0.02638956266157367,0.35033820167309415,-0.07762682972189579,0.02794713970981351,0.025786745897057872
"CAR[-2,+2]",M2_overall_sentiment,pooled,firm_cluster_CR1,Overall_sentiment,62,7,-0.02483984500604114,0.026695137819681095,0.38801826082865704,-0.09016049410496735,0.04048080409288507,0.025786745897057872
