Company,Fiscal Year,Event Date (adjusted),Estimation N,Alpha,Beta,"CAR[-1,+1]","CAR[-2,+2]","CAR[0,+1]","|CAR|[-1,+1]",Specificity source company,Specificity_mean,total_sent,ESGSentiment_Corporate,Corporate_ESG_share,Verified_ESG_share,_merge,exclusion_reason,regression_eligible,COVID_period,Specificity_z,log_total_sent
"Prudential Financial, Inc.",2013,2014-03-28,221.0,0.0015894298334132,0.3478084631850493,-0.012480824863131,-0.0282168215937723,0.006692162654588,0.012480824863131,,,,,,,left_only,No narrative firm-year output,False,False,,
"Prudential Financial, Inc.",2014,2015-03-27,221.0,-0.0004029675988238,1.0412688533853576,0.0223396163563203,0.0176968006593928,0.0014146304304208,0.0223396163563203,,,,,,,left_only,No narrative firm-year output,False,False,,
"Prudential Financial, Inc.",2015,2016-03-28,221.0,-0.0003729022683494,1.1826582232994407,-0.0331661870387891,-0.0226398412297693,-0.003386940468158,0.0331661870387891,Prudentials,1.391304347826087,122.0,0.7391304347826086,0.1885245901639344,0.0573770491803278,both,,True,False,-0.2100655762000222,4.804021044733257
"Prudential Financial, Inc.",2016,2017-03-30,221.0,0.0014102418135601,1.2301421587923744,0.0072792214571908,0.0052737458803507,0.0136357377870976,0.0072792214571908,Prudentials,1.375,112.0,0.5625,0.2857142857142857,0.0714285714285714,both,,True,False,-0.2810911914155177,4.718498871295094
"Prudential Financial, Inc.",2017,2018-03-29,221.0,-0.0005847319847314,1.3661689326549342,-0.0053771433363899,0.0063556816520115,-0.0073668087507767,0.0053771433363899,Prudentials,1.565217391304348,126.0,0.717391304347826,0.365079365079365,0.1428571428571428,both,,True,False,0.5475409860985988,4.836281906951478
"Prudential Financial, Inc.",2018,2019-03-28,221.0,-0.0003387800741521,1.2190869144634966,0.0006201330409689,0.0391815105300024,-0.0047572208198411,0.0006201330409689,Prudentials,1.6730769230769231,169.0,0.6923076923076923,0.6153846153846154,0.2781065088757396,both,,True,False,1.0174027482934163,5.1298987149230735
"Prudential Financial, Inc.",2019,2020-03-27,221.0,-0.0007129895857838,1.553333897353996,-0.0353604529172242,0.0092639417236704,-0.0082197088866252,0.0353604529172242,Prudentials,1.1666666666666667,58.0,0.4444444444444444,0.3103448275862069,0.0517241379310344,both,,True,True,-1.1886407191690733,4.060443010546419
"Prudential Financial, Inc.",2020,2021-03-26,221.0,-0.0008804969494535,1.6922918090764387,-0.0051089647407437,0.0296984199237423,-0.0202315085093615,0.0051089647407437,Prudentials,1.5,75.0,0.8125,0.4266666666666667,0.1466666666666666,both,,True,False,0.2634385252366158,4.31748811353631
"Prudential Financial, Inc.",2021,2022-03-25,221.0,0.0010420504514241,1.114459703282461,0.0014204859760801,-0.0147531314317945,-0.0027769246426588,0.0014204859760801,Prudentials,1.7333333333333334,87.0,0.5333333333333333,0.5172413793103449,0.2413793103448276,both,,True,False,1.2798939963205986,4.465908118654584
"Prudential Financial, Inc.",2022,2023-03-23,221.0,-5.411880083522451e-05,0.9641366016767008,-0.0513358305169198,-0.019474825861482,-0.0181396301244663,0.0513358305169198,Prudentials,1.3636363636363635,71.0,0.5454545454545454,0.3098591549295774,0.0704225352112676,both,,True,False,-0.3305938929293485,4.2626798770413155
