Company,Fiscal Year,Event Date (adjusted),Estimation N,Alpha,Beta,"CAR[-1,+1]","CAR[-2,+2]","CAR[0,+1]","|CAR|[-1,+1]","CAR[0,+5]","CAR[0,+20]",total_sentences,positive_share,negative_share,Overall_sentiment,ESG_sentences,ESG_positive_share,ESG_negative_share,ESG_sentiment,Specificity_mean,Specificity_all_flagged_mean,specificity_sentences_classified,specificity_primary_sentences,source_company,_merge,exclusion_reason,regression_eligible,COVID_period
"MetLife, Inc.",2018,2019-04-05,221,-1.1111158032394958e-05,1.175126164979572,0.011758367431452,0.0040820242171197,0.0003429432254333,0.011758367431452,0.014846980924387356,0.05647242805465234,,,,,,,,,,,,,,left_only,missing firm-year narrative output,False,False
"MetLife, Inc.",2019,2020-04-03,221,6.188256992739567e-05,1.232878506062132,0.0140576806468966,0.0112834527756819,0.0340969922102483,0.0140576806468966,0.10829599005986108,0.08202888216736944,,,,,,,,,,,,,,left_only,missing firm-year narrative output,False,True
"MetLife, Inc.",2020,2021-04-09,221,0.0003215997824919,1.5290257888372882,-0.0029128737920649,-0.0135513529793554,0.0156141323446299,0.0029128737920649,-0.0033444692595150354,0.039929928331928356,,,,,,,,,,,,,,left_only,missing firm-year narrative output,False,False
"MetLife, Inc.",2021,2022-04-08,221,0.0005077040976733,1.087168096695338,0.0206040996798264,0.0313467318663997,0.0332558383203032,0.0206040996798264,0.046407309453787154,0.07027613381486364,,,,,,,,,,,,,,left_only,missing firm-year narrative output,False,False
"MetLife, Inc.",2022,2023-04-10,221,0.0006597604865546,0.7999753151462893,0.018079158841122,0.0403120173996066,0.0146148459679917,0.018079158841122,0.026227834488613995,-0.1068904182378347,,,,,,,,,,,,,,left_only,missing firm-year narrative output,False,False
"MetLife, Inc.",2023,2024-04-05,221,5.8813131561215475e-05,1.0343885860379631,0.0041181295005268,-0.0074468138585925,-0.0015566478024273,0.0041181295005268,-0.03244495128212385,-0.032972031950256095,,,,,,,,,,,,,,left_only,missing firm-year narrative output,False,False
"Prudential Financial, Inc.",2012,2013-03-22,221,-0.0004606843357131,0.454684766314992,-0.0153659193534793,0.0022112244166046,0.005557975488496,0.0153659193534793,0.0019959820856876483,-0.026928034015642477,,,,,,,,,,,,,,left_only,missing firm-year narrative output,False,False
"Prudential Financial, Inc.",2013,2014-03-28,221,0.0015894298334132,0.3478084631850493,-0.012480824863131,-0.0282168215937723,0.006692162654588,0.012480824863131,0.0013797658285940526,-0.07496147040204833,,,,,,,,,,,,,,left_only,missing firm-year narrative output,False,False
"Prudential Financial, Inc.",2014,2015-03-27,221,-0.0004029675988238,1.0412688533853576,0.0223396163563203,0.0176968006593928,0.0014146304304208,0.0223396163563203,-0.013955141460379116,-0.019477609911907466,,,,,,,,,,,,,,left_only,missing firm-year narrative output,False,False
"Prudential Financial, Inc.",2015,2016-03-28,221,-0.0003729022683494,1.1826582232994407,-0.0331661870387891,-0.0226398412297693,-0.003386940468158,0.0331661870387891,0.014534823932756628,0.07562324802181501,122.0,0.7295081967213115,0.0245901639344262,0.7049180327868853,30.0,0.6333333333333333,0.0,0.6333333333333333,1.391304347826087,1.1,30.0,23.0,Prudential Financials,both,,True,False
"Prudential Financial, Inc.",2016,2017-03-30,221,0.0014102418135601,1.2301421587923744,0.0072792214571908,0.0052737458803507,0.0136357377870976,0.0072792214571908,0.008182966687401483,-0.029998353231286006,112.0,0.6875,0.0357142857142857,0.6517857142857143,35.0,0.5714285714285714,0.0,0.5714285714285714,1.375,1.3142857142857145,35.0,32.0,Prudential Financials,both,,True,False
"Prudential Financial, Inc.",2017,2018-03-29,221,-0.0005847319847314,1.3661689326549342,-0.0053771433363899,0.0063556816520115,-0.0073668087507767,0.0053771433363899,-0.005009004858207461,0.02261214060980927,126.0,0.7619047619047619,0.0238095238095238,0.738095238095238,49.0,0.7142857142857143,0.0,0.7142857142857143,1.565217391304348,1.510204081632653,49.0,46.0,Prudential Financials,both,,True,False
"Prudential Financial, Inc.",2018,2019-03-28,221,-0.0003387800741521,1.2190869144634966,0.0006201330409689,0.0391815105300024,-0.0047572208198411,0.0006201330409689,0.03255157405459137,0.08672046558612562,169.0,0.6982248520710059,0.0236686390532544,0.6745562130177515,60.0,0.7,0.0,0.7,1.6730769230769231,1.6730769230769231,104.0,104.0,Prudential Financials,both,,True,False
"Prudential Financial, Inc.",2019,2020-03-27,221,-0.0007129895857838,1.553333897353996,-0.0353604529172242,0.0092639417236704,-0.0082197088866252,0.0353604529172242,-0.07737791145200155,-0.0034367657066484147,58.0,0.4655172413793103,0.0344827586206896,0.4310344827586206,19.0,0.4210526315789473,0.0,0.4210526315789473,1.1666666666666667,1.105263157894737,19.0,18.0,Prudential Financials,both,,True,True
"Prudential Financial, Inc.",2020,2021-03-26,221,-0.0008804969494535,1.6922918090764387,-0.0051089647407437,0.0296984199237423,-0.0202315085093615,0.0051089647407437,-0.037113572223393586,-0.0043649326884158575,75.0,0.7066666666666667,0.0666666666666666,0.64,34.0,0.7647058823529411,0.0588235294117647,0.7058823529411764,1.5,1.4705882352941178,34.0,32.0,Prudential Financials,both,,True,False
"Prudential Financial, Inc.",2021,2022-03-25,221,0.0010420504514241,1.114459703282461,0.0014204859760801,-0.0147531314317945,-0.0027769246426588,0.0014204859760801,-0.019250731083487477,-0.005176348037678965,87.0,0.5977011494252874,0.0229885057471264,0.574712643678161,46.0,0.5434782608695652,0.0217391304347826,0.5217391304347826,1.7333333333333334,1.6956521739130437,46.0,45.0,Prudential Financials,both,,True,False
"Prudential Financial, Inc.",2022,2023-03-23,221,-5.411880083522451e-05,0.9641366016767008,-0.0513358305169198,-0.019474825861482,-0.0181396301244663,0.0513358305169198,0.011093019798979023,0.035383405117340866,71.0,0.7183098591549296,0.0140845070422535,0.7042253521126761,22.0,0.5454545454545454,0.0,0.5454545454545454,1.3636363636363635,1.3636363636363635,22.0,22.0,Prudential Financials,both,,True,False
"Prudential Financial, Inc.",2023,2024-03-28,221,0.0005478571511512,1.0686348707812463,-0.0026407481748777,0.0067984435871444,-0.0042797710181964,0.0026407481748777,-0.004589400495317279,-0.03776252442176396,52.0,0.7115384615384616,0.0,0.7115384615384616,17.0,0.5294117647058824,0.0,0.5294117647058824,1.411764705882353,1.411764705882353,17.0,17.0,Prudential Financials,both,,True,False
The Allstate Corporation,2012,2013-04-12,221,0.0015977278545396,0.3036076519539356,-0.010915452394885,-0.0148382759888649,-0.0170749599028629,0.010915452394885,-0.023877277799786586,-0.06283959721338112,51.0,0.4901960784313725,0.0196078431372549,0.4705882352941176,16.0,0.4375,0.0,0.4375,2.0,1.3125,16.0,8.0,Allstate,both,,True,False
The Allstate Corporation,2013,2014-04-11,221,0.0003971404469515,0.2334507662391829,-0.0169048853849411,-0.0040255509851661,-0.0057274686317652,0.0169048853849411,0.0005823608298786633,0.036509549077195204,49.0,0.6122448979591837,0.0,0.6122448979591837,9.0,0.5555555555555556,0.0,0.5555555555555556,1.4444444444444444,1.4444444444444444,9.0,9.0,Allstate,both,,True,False
The Allstate Corporation,2014,2015-04-10,221,0.0010650199275436,0.4482429854488714,0.0013405102264257,-0.0089336699365202,-0.0024871138603727,0.0013405102264257,-0.020273560666668602,-0.09725959423499464,49.0,0.6122448979591837,0.0,0.6122448979591837,9.0,0.5555555555555556,0.0,0.5555555555555556,1.4444444444444444,1.4444444444444444,9.0,9.0,Allstate,both,,True,False
