Company Name,Year,total_sent,E_sent,S_sent,G_sent,E_ratio,S_ratio,G_ratio
Munich RE,2020,74,13,8,0,0.17567567567567569,0.10810810810810811,0.0
Munich RE,2021,86,31,9,4,0.36046511627906974,0.10465116279069768,0.046511627906976744
Munich RE,2022,84,15,15,3,0.17857142857142858,0.17857142857142858,0.03571428571428571
Munich RE,2023,80,9,5,2,0.1125,0.0625,0.025
PIC,2012,58,4,4,3,0.06896551724137931,0.06896551724137931,0.05172413793103448
PIC,2013,41,4,4,2,0.0975609756097561,0.0975609756097561,0.04878048780487805
PIC,2014,52,1,7,1,0.019230769230769232,0.1346153846153846,0.019230769230769232
PIC,2015,60,1,1,1,0.016666666666666666,0.016666666666666666,0.016666666666666666
PIC,2016,68,4,16,2,0.058823529411764705,0.23529411764705882,0.029411764705882353
PIC,2017,68,4,16,2,0.058823529411764705,0.23529411764705882,0.029411764705882353
PIC,2018,96,4,9,3,0.041666666666666664,0.09375,0.03125
PIC,2019,114,6,9,4,0.05263157894736842,0.07894736842105263,0.03508771929824561
PIC,2020,80,4,6,3,0.05,0.075,0.0375
PIC,2021,63,4,4,2,0.06349206349206349,0.06349206349206349,0.031746031746031744
PIC,2022,60,5,3,4,0.08333333333333333,0.05,0.06666666666666667
PIC,2023,57,4,6,1,0.07017543859649122,0.10526315789473684,0.017543859649122806
Ping An,2012,113,8,14,5,0.07079646017699115,0.12389380530973451,0.04424778761061947
Ping An,2013,122,5,20,3,0.040983606557377046,0.16393442622950818,0.02459016393442623
Ping An,2014,133,4,21,0,0.03007518796992481,0.15789473684210525,0.0
Ping An,2015,155,0,4,0,0.0,0.025806451612903226,0.0
Ping An,2016,55,1,3,0,0.01818181818181818,0.05454545454545454,0.0
Ping An,2017,67,1,5,0,0.014925373134328358,0.07462686567164178,0.0
Ping An,2018,67,2,10,0,0.029850746268656716,0.14925373134328357,0.0
Ping An,2019,84,7,14,4,0.08333333333333333,0.16666666666666666,0.047619047619047616
Ping An,2020,84,2,11,2,0.023809523809523808,0.13095238095238096,0.023809523809523808
Ping An,2021,98,10,23,1,0.10204081632653061,0.23469387755102042,0.01020408163265306
Ping An,2022,100,7,24,2,0.07,0.24,0.02
Ping An,2023,129,10,21,0,0.07751937984496124,0.16279069767441862,0.0
Power Corp Canada,2012,182,1,5,3,0.005494505494505495,0.027472527472527472,0.016483516483516484
Power Corp Canada,2013,164,4,10,1,0.024390243902439025,0.06097560975609756,0.006097560975609756
Power Corp Canada,2014,115,5,7,3,0.043478260869565216,0.06086956521739131,0.02608695652173913
Power Corp Canada,2015,115,4,7,1,0.034782608695652174,0.06086956521739131,0.008695652173913044
Power Corp Canada,2016,145,6,10,2,0.041379310344827586,0.06896551724137931,0.013793103448275862
Power Corp Canada,2017,121,7,8,0,0.05785123966942149,0.06611570247933884,0.0
Power Corp Canada,2018,106,8,3,2,0.07547169811320754,0.02830188679245283,0.018867924528301886
Power Corp Canada,2019,103,4,12,5,0.038834951456310676,0.11650485436893204,0.04854368932038835
Power Corp Canada,2020,93,6,18,4,0.06451612903225806,0.1935483870967742,0.043010752688172046
Power Corp Canada,2021,86,13,20,7,0.1511627906976744,0.23255813953488372,0.08139534883720931
Power Corp Canada,2022,144,20,25,10,0.1388888888888889,0.1736111111111111,0.06944444444444445
Power Corp Canada,2023,71,6,11,5,0.08450704225352113,0.15492957746478872,0.07042253521126761
Progressive,2018,184,4,24,1,0.021739130434782608,0.13043478260869565,0.005434782608695652
Progressive,2019,183,6,45,3,0.03278688524590164,0.2459016393442623,0.01639344262295082
Progressive,2021,187,6,57,1,0.03208556149732621,0.3048128342245989,0.0053475935828877
Progressive,2022,274,11,102,0,0.040145985401459854,0.3722627737226277,0.0
Progressive,2023,287,3,120,0,0.010452961672473868,0.4181184668989547,0.0
Prudential Financials,2015,122,2,28,4,0.01639344262295082,0.22950819672131148,0.03278688524590164
Prudential Financials,2016,112,5,32,5,0.044642857142857144,0.2857142857142857,0.044642857142857144
Prudential Financials,2017,126,0,49,1,0.0,0.3888888888888889,0.007936507936507936
Prudential Financials,2018,169,1,58,3,0.005917159763313609,0.3431952662721893,0.01775147928994083
Prudential Financials,2019,58,2,19,2,0.034482758620689655,0.3275862068965517,0.034482758620689655
Prudential Financials,2020,75,7,31,0,0.09333333333333334,0.41333333333333333,0.0
Prudential Financials,2021,87,12,41,4,0.13793103448275862,0.47126436781609193,0.04597701149425287
Prudential Financials,2022,71,4,22,3,0.056338028169014086,0.30985915492957744,0.04225352112676056
Prudential Financials,2023,52,0,17,1,0.0,0.3269230769230769,0.019230769230769232
Sompo,2012,19,2,2,0,0.10526315789473684,0.10526315789473684,0.0
Sompo,2013,16,1,4,0,0.0625,0.25,0.0
Sompo,2014,27,0,6,1,0.0,0.2222222222222222,0.037037037037037035
Sompo,2015,20,0,5,1,0.0,0.25,0.05
Sompo,2016,91,10,23,9,0.10989010989010989,0.25274725274725274,0.0989010989010989
Sompo,2017,70,9,24,5,0.12857142857142856,0.34285714285714286,0.07142857142857142
Sompo,2018,90,10,29,0,0.1111111111111111,0.32222222222222224,0.0
Sompo,2019,130,10,44,5,0.07692307692307693,0.3384615384615385,0.038461538461538464
Sompo,2020,148,17,61,8,0.11486486486486487,0.41216216216216217,0.05405405405405406
Sompo,2021,114,10,36,1,0.08771929824561403,0.3157894736842105,0.008771929824561403
Sompo,2022,186,8,84,2,0.043010752688172046,0.45161290322580644,0.010752688172043012
Sompo,2023,72,2,40,0,0.027777777777777776,0.5555555555555556,0.0
Swiss RE,2013,38,0,2,0,0.0,0.05263157894736842,0.0
Swiss RE,2014,54,5,7,0,0.09259259259259259,0.12962962962962962,0.0
Swiss RE,2015,44,2,6,0,0.045454545454545456,0.13636363636363635,0.0
Swiss RE,2016,67,7,2,0,0.1044776119402985,0.029850746268656716,0.0
Swiss RE,2017,82,21,22,9,0.25609756097560976,0.2682926829268293,0.10975609756097561
Swiss RE,2018,93,29,7,2,0.3118279569892473,0.07526881720430108,0.021505376344086023
Swiss RE,2019,109,26,15,2,0.23853211009174313,0.13761467889908258,0.01834862385321101
Swiss RE,2020,75,14,4,0,0.18666666666666668,0.05333333333333334,0.0
Swiss RE,2021,94,15,13,2,0.1595744680851064,0.13829787234042554,0.02127659574468085
Swiss RE,2022,96,16,14,0,0.16666666666666666,0.14583333333333334,0.0
Swiss RE,2023,76,15,11,0,0.19736842105263158,0.14473684210526316,0.0
Talanx,2012,41,2,1,0,0.04878048780487805,0.024390243902439025,0.0
Talanx,2013,41,2,1,0,0.04878048780487805,0.024390243902439025,0.0
Talanx,2014,58,4,1,0,0.06896551724137931,0.017241379310344827,0.0
Talanx,2015,49,2,1,0,0.04081632653061224,0.02040816326530612,0.0
Talanx,2016,53,2,1,0,0.03773584905660377,0.018867924528301886,0.0
Talanx,2017,43,6,1,0,0.13953488372093023,0.023255813953488372,0.0
Talanx,2018,30,0,0,0,0.0,0.0,0.0
Talanx,2019,35,2,5,1,0.05714285714285714,0.14285714285714285,0.02857142857142857
Talanx,2020,42,4,3,0,0.09523809523809523,0.07142857142857142,0.0
Talanx,2021,38,6,1,0,0.15789473684210525,0.02631578947368421,0.0
Talanx,2022,50,8,6,0,0.16,0.12,0.0
Talanx,2023,47,7,5,0,0.14893617021276595,0.10638297872340426,0.0
Tokio Marine,2014,17,1,6,0,0.058823529411764705,0.35294117647058826,0.0
Tokio Marine,2015,22,2,8,1,0.09090909090909091,0.36363636363636365,0.045454545454545456
Tokio Marine,2016,16,2,5,0,0.125,0.3125,0.0
Tokio Marine,2017,121,9,41,1,0.0743801652892562,0.33884297520661155,0.008264462809917356
Tokio Marine,2018,59,5,20,0,0.0847457627118644,0.3389830508474576,0.0
Tokio Marine,2019,141,19,44,2,0.1347517730496454,0.3120567375886525,0.014184397163120567
Tokio Marine,2020,191,25,46,4,0.13089005235602094,0.24083769633507854,0.020942408376963352
Tokio Marine,2021,174,28,56,1,0.16091954022988506,0.3218390804597701,0.005747126436781609
Tokio Marine,2022,159,31,43,1,0.1949685534591195,0.27044025157232704,0.006289308176100629
Tokio Marine,2023,139,18,35,1,0.12949640287769784,0.2517985611510791,0.007194244604316547
Travelers,2012,113,19,15,3,0.168141592920354,0.13274336283185842,0.02654867256637168
Travelers,2013,71,5,13,0,0.07042253521126761,0.18309859154929578,0.0
Travelers,2014,80,4,16,0,0.05,0.2,0.0
Travelers,2015,143,0,19,4,0.0,0.13286713286713286,0.027972027972027972
Travelers,2016,140,5,24,0,0.03571428571428571,0.17142857142857143,0.0
Travelers,2017,175,8,32,1,0.045714285714285714,0.18285714285714286,0.005714285714285714
Travelers,2018,171,5,18,0,0.029239766081871343,0.10526315789473684,0.0
Travelers,2019,184,8,23,0,0.043478260869565216,0.125,0.0
Travelers,2020,196,24,41,0,0.12244897959183673,0.20918367346938777,0.0
Travelers,2021,178,12,35,0,0.06741573033707865,0.19662921348314608,0.0
Travelers,2022,193,11,33,0,0.05699481865284974,0.17098445595854922,0.0
Travelers,2023,213,7,18,1,0.03286384976525822,0.08450704225352113,0.004694835680751174
Zurich,2012,40,2,2,0,0.05,0.05,0.0
Zurich,2013,52,7,3,0,0.1346153846153846,0.057692307692307696,0.0
Zurich,2014,33,6,2,1,0.18181818181818182,0.06060606060606061,0.030303030303030304
Zurich,2015,38,4,3,1,0.10526315789473684,0.07894736842105263,0.02631578947368421
Zurich,2016,60,1,1,0,0.016666666666666666,0.016666666666666666,0.0
Zurich,2017,66,4,13,1,0.06060606060606061,0.19696969696969696,0.015151515151515152
Zurich,2018,53,4,14,0,0.07547169811320754,0.2641509433962264,0.0
Zurich,2019,67,8,25,1,0.11940298507462686,0.373134328358209,0.014925373134328358
Zurich,2020,62,9,26,0,0.14516129032258066,0.41935483870967744,0.0
Zurich,2021,63,15,20,0,0.23809523809523808,0.31746031746031744,0.0
Zurich,2022,59,12,15,3,0.2033898305084746,0.2542372881355932,0.05084745762711865
Zurich,2023,38,2,0,0,0.05263157894736842,0.0,0.0
